"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AFGRMFCE","journalArticle","2021","Friman, Julia; Karssemeijer, Peter N.; Haller, Julian; De Kreek, Kris; Van Loon, Joop J.A.; Dicke, Marcel","Shoot and root insect herbivory change the plant rhizosphere microbiome and affects cabbage–insect interactions through plant–soil feedback","New Phytologist","","0028-646X, 1469-8137","10.1111/nph.17746","https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.17746","Summary                                                                                     Plant–soil feedback (PSF) may influence plant–insect interactions. Although plant defense differs between shoot and root tissues, few studies have examined root‐feeding insect herbivores in a PSF context. We examined here how plant growth and resistance against root‐feeding                     Delia radicum                     larvae was influenced by PSF.                                                                                             We conditioned soil with cabbage plants that were infested with herbivores that affect                     D                     .                     radicum                     through plant‐mediated effects: leaf‐feeding                     Plutella xylostella                     caterpillars and                     Brevicoryne brassicae                     aphids, root‐feeding                     D. radicum                     larvae, and/or added rhizobacterium                     Pseudomonas simiae                     WCS417r. We analyzed the rhizosphere microbial community, and in a second set of conspecific plants exposed to conditioned soil, we assessed growth, expression of defense‐related genes, and                     D                     .                      radicum                     performance.                                                                                             The rhizosphere microbiome differed mainly between shoot and root herbivory treatments. Addition of                     Pseudomonas simiae                     did not influence rhizosphere microbiome composition. Plant shoot biomass, gene expression, and plant resistance against                     D                     .                      radicum                     larvae was affected by PSF in a treatment‐specific manner. Soil conditioning overall reduced plant shoot biomass,                     Pseudomonas simiae                     ‐amended soil causing the largest growth reduction.                                                                        In conclusion, shoot and root insect herbivores alter the rhizosphere microbiome differently, with consequences for growth and resistance of plants subsequently exposed to conditioned soil.","2021-12","2026-01-22 07:46:31","2026-01-22 07:46:31","2026-01-22 07:46:03","2475-2490","","6","232","","New Phytologist","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dutang/Zotero/storage/2MYCW8KJ/Friman et al. - 2021 - Shoot and root insect herbivory change the plant rhizosphere microbiome and affects cabbage–insect i.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WXAST7LR","journalArticle","2022","Tröndle, Marius; Popov, Tzvetan; Dziemian, Sabine; Langer, Nicolas","Decomposing the role of alpha oscillations during brain maturation","Elife","","","","https://elifesciences.org/articles/77571","","2022","2026-01-22 07:46:31","2026-01-22 07:46:31","2026-01-22 07:46:09","e77571","","","11","","","","","","","","eLife Sciences Publications Limited","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/TA8MLPI7/Tröndle et al. - 2022 - Decomposing the role of alpha oscillations during brain maturation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WR7JQUME","journalArticle","2019","del Barrio-Duque, Alejandro; Ley, Johanna; Samad, Abdul; Antonielli, Livio; Sessitsch, Angela; Compant, Stephane","Beneficial endophytic bacteria-Serendipita indica interaction for crop enhancement and resistance to phytopathogens","Frontiers in microbiology","","","","https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2019.02888/full","","2019","2026-01-22 07:46:31","2026-01-22 07:46:31","2026-01-22 07:46:15","2888","","","10","","","","","","","","Frontiers Media SA","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/JDKB924E/del Barrio-Duque et al. - 2019 - Beneficial endophytic bacteria-Serendipita indica interaction for crop enhancement and resistance to.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RWHWSCWE","journalArticle","2021","Hu, Benxia; Won, Hyejung; Mah, Won; Park, Royce B.; Kassim, Bibi; Spiess, Keeley; Kozlenkov, Alexey; Crowley, Cheynna A.; Pochareddy, Sirisha","Neuronal and glial 3D chromatin architecture informs the cellular etiology of brain disorders","Nature communications","","","","https://www.nature.com/articles/s41467-021-24243-0","","2021","2026-01-22 07:46:31","2026-01-22 07:46:31","2026-01-22 07:46:16","3968","","1","12","","","","","","","","Nature Publishing Group UK London","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/DPAC3BFP/Hu et al. - 2021 - Neuronal and glial 3D chromatin architecture informs the cellular etiology of brain disorders.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQBAMF98","journalArticle","2025","De Gregorio, Chiara; Valente, Daria; Cristiano, Walter; Carugati, Filippo; Prealta, Michela; Ferrario, Valeria; Raimondi, Teresa; Torti, Valeria; Ratsimbazafy, Jonah; Giacoma, Cristina","Singing out of tune: sexual and developmental differences in the occurrence of nonlinear phenomena in primate songs","Philosophical Transactions B","","","","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2024.0021","","2025","2026-01-22 07:46:31","2026-01-22 07:46:31","2026-01-22 07:46:17","20240021","","1923","380","","","Singing out of tune","","","","","The Royal Society","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/H6X2G23C/De Gregorio et al. - 2025 - Singing out of tune sexual and developmental differences in the occurrence of nonlinear phenomena i.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D496TDSH","journalArticle","2021","Guo, Yang; Abdalla, Mohamed; Espenberg, Mikk; Hastings, Astley; Hallett, Paul; Smith, Pete","A systematic analysis and review of the impacts of afforestation on soil quality indicators as modified by climate zone, forest type and age","Science of the Total Environment","","","","https://www.sciencedirect.com/science/article/pii/S0048969720373551","","2021","2026-01-22 07:46:31","2026-01-22 07:46:31","2026-01-22 07:46:18","143824","","","757","","","","","","","","Elsevier","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VRMXMYZS","journalArticle","2025","Caporale, Nicolò; Castaldi, Davide; Rigoli, Marco Tullio; Cheroni, Cristina; Valenti, Alessia; Stucchi, Sarah; Lessi, Manuel; Bulgheresi, Davide; Trattaro, Sebastiano; Pezzali, Martina","Multiplexing cortical brain organoids for the longitudinal dissection of developmental traits at single-cell resolution","Nature methods","","","","https://www.nature.com/articles/s41592-024-02555-5","","2025","2026-01-22 07:46:31","2026-01-22 07:46:31","2026-01-22 07:46:23","358–370","","2","22","","","","","","","","Nature Publishing Group US New York","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/E92B57D4/Caporale et al. - 2025 - Multiplexing cortical brain organoids for the longitudinal dissection of developmental traits at sin.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MJJKCQ4J","journalArticle","2022","Knight, Gwenan M.; Pham, Thi Mui; Stimson, James; Funk, Sebastian; Jafari, Yalda; Pople, Diane; Evans, Stephanie; Yin, Mo; Brown, Colin S.; Bhattacharya, Alex","The contribution of hospital-acquired infections to the COVID-19 epidemic in England in the first half of 2020","BMC infectious diseases","","","","https://link.springer.com/article/10.1186/s12879-022-07490-4","","2022","2026-01-22 07:46:31","2026-01-22 07:46:31","2026-01-22 07:46:26","556","","1","22","","","","","","","","Springer","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/YHNFBNA6/Knight et al. - 2022 - The contribution of hospital-acquired infections to the COVID-19 epidemic in England in the first ha.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YAUYTWZM","journalArticle","2022","Aldercotte, Andrew H.; Simpson, Dylan T.; Winfree, Rachael","Crop visitation by wild bees declines over an 8-year time series: A dramatic trend, or just dramatic between-year variation?","Insect Conservation and Diversity","","","","https://resjournals.onlinelibrary.wiley.com/doi/abs/10.1111/icad.12589","","2022","2026-01-22 07:46:31","2026-01-22 07:46:31","2026-01-22 07:46:30","522–533","","5","15","","","Crop visitation by wild bees declines over an 8-year time series","","","","","Wiley Online Library","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T7YBMA3B","journalArticle","2022","Helbach, Jan; Frey, Julian; Messier, Christian; Mörsdorf, Martin; Scherer-Lorenzen, Michael","Light heterogeneity affects understory plant species richness in temperate forests supporting the heterogeneity–diversity hypothesis","Ecology and Evolution","","","","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.8534","","2022","2026-01-22 07:46:31","2026-01-22 07:46:31","2026-01-22 07:46:31","e8534","","2","12","","","","","","","","Wiley Online Library","","","","","","","Google Scholar","","","","/Users/dutang/Zotero/storage/IWCPLLYM/Helbach et al. - 2022 - Light heterogeneity affects understory plant species richness in temperate forests supporting the he.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z82GVMWV","journalArticle","2026","Aryadoust, Vahid; Jia, Yichen","Univariate normality checking practices in L2 research: An AI-assisted systematic review","Studies in Second Language Acquisition","","","","","","2026","2026-06-21 20:16:10","2026-06-21 20:16:10","","1–36","","","","","","","","","","","Cambridge University Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HWNPFM2F","journalArticle","2026","Aryadoust, Vahid; Jia, Yichen","Univariate normality checking practices in L2 research: An AI-assisted systematic review","Studies in Second Language Acquisition","","","","","","2026","2026-06-21 20:16:10","2026-06-21 20:16:10","","1–36","","","","","","","","","","","Cambridge University Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K527JXJ2","journalArticle","2026","Planert, Henrike; Mittermaier, Franz Xaver; Grosser, Sabine; Fidzinski, Pawel; Schneider, Ulf Christoph; Radbruch, Helena; Onken, Julia; Holtkamp, Martin; Schmitz, Dietmar; Alle, Henrik; others","Electrophysiological classification of human layer 2–3 pyramidal neurons reveals subtype-specific synaptic interactions","Nature neuroscience","","","","","","2026","2026-06-21 20:16:10","2026-06-21 20:16:10","","455–466","","2","29","","","","","","","","Nature Publishing Group US New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KD48XTB2","journalArticle","2026","Planert, Henrike; Mittermaier, Franz Xaver; Grosser, Sabine; Fidzinski, Pawel; Schneider, Ulf Christoph; Radbruch, Helena; Onken, Julia; Holtkamp, Martin; Schmitz, Dietmar; Alle, Henrik; others","Electrophysiological classification of human layer 2–3 pyramidal neurons reveals subtype-specific synaptic interactions","Nature neuroscience","","","","","","2026","2026-06-21 20:16:10","2026-06-21 20:16:10","","455–466","","2","29","","","","","","","","Nature Publishing Group US New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XYSKSZ2","journalArticle","2026","Raimondi, Teresa; Haas, Caroline E; Mendez-Arostegui, Margarita; Jadoul, Yannick; Ravignani, Andrea; others","Neonatal auditory input affects vocal development in harbour seals","PHILOSOPHICAL TRANSACTIONS-ROYAL SOCIETY. BIOLOGICAL SCIENCES","","","","","","2026","2026-06-21 20:16:10","2026-06-21 20:16:10","","1–14","","1943","381","","","","","","","","Royal Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WWX6Y5JY","journalArticle","2026","Raimondi, Teresa; Haas, Caroline E; Mendez-Arostegui, Margarita; Jadoul, Yannick; Ravignani, Andrea; others","Neonatal auditory input affects vocal development in harbour seals","PHILOSOPHICAL TRANSACTIONS-ROYAL SOCIETY. BIOLOGICAL SCIENCES","","","","","","2026","2026-06-21 20:16:10","2026-06-21 20:16:10","","1–14","","1943","381","","","","","","","","Royal Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ND5W2ACU","journalArticle","2026","Li, Zhongqin; Niklas, Karl J; Wang, Jinfeng; Deng, Linli; Huang, Weiwei; Shi, Peijian","Scaling relationship between total leaf size and total number of leaves per culm of Semiarundinaria densiflora","Annals of Botany","","","","","","2026","2026-06-21 20:16:10","2026-06-21 20:16:10","","1179–1186","","5","137","","","","","","","","Oxford University Press UK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
